PROGRAM_CODE,PROJ_NAME,SPECIES_NAME,RUN_NAME,BROOD_YEAR,STOCK_NAME,STOCK_PROD_AREA_CODE,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_NAME,RELEASE_SITE_NAME,REL_CU_INDEX,REL_CU_NAME,RELEASE_STAGE_NAME,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_WEIGHT,PURPOSE_CODE,TRANSFER,RELEASE_COMMENT,RowNum,TaggedClip,TaggedNum,ShedTagNum,NoTagClip,NoTagNum,NoTagPartMarkNum,UnmarkedNum,TotalRelease,Status,Joe's Comment
PIP,McIntyre Cr,Chinook,Spring,2011,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020707,2012,20120726,20120726,2,P,N,,1,AD,9053,0,AD,91,0,,9144,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2011,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020708,2012,20120711,20120711,1.5,P,N,,1,AD,10612,0,AD,89,0,,10701,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2011,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020709,2012,20120724,20120724,2,P,N,,1,AD,10806,0,AD,32,0,,10838,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2011,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201020701,2012,20120628,20120628,1.5,P,N,,1,AD,3481,0,AD,175,0,,3656,All Good - Edited,"STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX in EPAD (reference tables?) is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES)."
PIP,McIntyre Cr,Chinook,Spring,2012,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020801,2013,20130708,20130708,2.4,P,N,,1,AD,11288,0,AD,410,0,,11698,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2012,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020802,2013,20130708,20130708,2.4,P,N,,1,AD,241,0,AD,51,0,,292,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2013,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020804,2014,20140708,20140708,2.4,P,N,,1,AD,10896,0,AD,193,0,,11089,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2013,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020805,2014,20140708,20140708,2.4,P,N,,1,AD,5516,0,AD,151,0,,5667,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2014,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020806,2015,20150712,20150712,1.23,B,N,,1,AD,20000,0,,0,0,,20000,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2014,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020807,2015,20150712,20150712,2.4,P,N,,1,AD,10000,0,,0,0,,10000,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2014,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020808,2015,20150712,20150712,1.23,B,N,,1,AD,3000,0,AD,477,0,,3477,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2015,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020809,2016,20160717,20160717,1.3,P,N,,1,AD,11456,0,,0,0,,11456,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2015,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020901,2016,20160717,20160717,1.3,P,N,,1,AD,11467,0,,0,0,,11467,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2015,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020902,2016,20160717,20160717,1.3,P,N,,1,AD,11915,0,,0,0,,11915,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2015,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020903,2016,20160717,20160717,1.3,P,N,,1,AD,11449,0,,0,0,,11449,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2015,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,NOCN1587,2016,20160717,20160717,1,P,N,,1,,0,0,,0,0,600,600,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2016,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020904,2017,20170716,20170716,1.5,P,N,,1,AD,11768,406,,0,0,,12174,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2016,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020905,2017,20170716,20170716,1.5,P,N,,1,AD,10313,139,,0,0,,10452,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,McIntyre Cr,Chinook,Spring,2016,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Fox Cr,CK-69,UPPER YUKON RIVER,Fed Fry,0201020906,2017,20170721,20170721,1.6,P,N,,1,AD,9562,330,,0,0,,9892,All Good - Edited & Filled Blanks,"2 things were done here. First, STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES). Second, the REL_CU_INDEX and REL_CU_NAME were blank. The Fox Creek here is not in the Gazetteer of Yukon but is identified in the 2022/23 WRFH annual report as a tributary to Lake Laberge. Presumably the local name for the creek that drains Fox Lake and flows into Lake Laberge is Fox Creek. Lake Laberge is part of CU CK-69 UPPER YUKON RIVER. So I filled in the REL_CU_INDEX with CK-69 and the REL_CU_NAME with UPPER YUKON RIVER. "
PIP,Morley R Sch,Chinook,Spring,1994,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,W,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN9442,1995,19950511,19950511,0,B,N,,1,,0,0,,0,0,500,500,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,1996,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN96127,1998,199805,199805,0,B,N,,1,,0,0,,0,0,130,130,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,1997,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN9790,1998,199805,199805,0,B,N,,1,,0,0,,0,0,163,163,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,1998,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN9842,1999,199905,199905,2,B,N,CLASSROOM INC.; 1 SCHOOL HAD DIRTY WATER PROBLEMS.,1,,0,0,,0,0,448,448,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,1999,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Smolt 0+,NOCN9994,2000,200005,200005,3,B,N,,1,,0,0,,0,0,400,400,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,2001,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN0181,2002,200206,200206,2,B,N,,1,,0,0,,0,0,225,225,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,2004,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN0449,2005,200506,200506,1,B,N,,1,,0,0,,0,0,60,60,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,2005,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN05136,2006,20060531,20060531,1,B,N,CLASSROOM INCUBATION. RELEASE # ESTIMATED FROM # EGGS TAKEN.,1,,0,0,,0,0,45,45,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,2019,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN19137,2020,20200429,20200429,,B,N,,1,,0,0,,0,0,112,112,All Good - No Change,
PIP,Morley R Sch,Chinook,Spring,2020,Morley R,YUKN,CK-68,YUKON RIVER-TESLIN HEADWATERS,M,H,Morley River Schools,Morley R,CK-68,YUKON RIVER-TESLIN HEADWATERS,Fed Fry,NOCN2097,2021,20210526,20210526,,B,N,,1,,0,0,,0,0,98,98,All Good - No Change,
PIP,Stikine Sch,Chinook,Spring,2000,Stikine R,TRAN,CK-61,STIKINE-LATE TIMING,M,H,Stikine Schools,Stikine R,CK-61,STIKINE-LATE TIMING,Fed Fry,NOCN0088,2001,200105,200105,2,B,N,FED FRY RELEASE; CLASSROOM INCUBATION,1,,0,0,,0,0,100,100,,
PIP,Stikine Sch,Chinook,Spring,2001,Stikine R,TRAN,CK-61,STIKINE-LATE TIMING,M,H,Stikine Schools,Stikine R,CK-61,STIKINE-LATE TIMING,Fed Fry,NOCN01100,2002,200204,200204,0,B,N,,1,,0,0,,0,0,50,50,,
PIP,Telegraph Cr,Chinook,Spring,1992,Tahltan R,TRAN,CK-60,STIKINE-EARLY TIMING,M,H,Telegraph Creek H,Tahltan R,CK-60,STIKINE-EARLY TIMING,Fed Fry,NOCN92106,1993,199308,199308,0,B,N,,1,,0,0,,0,0,5000,5000,,
PIP,Whitehorse,Chinook,Spring,1984,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,W,H,Yukon River H,Michie Cr,CK-69,UPPER YUKON RIVER,Fed Fry,023226,1985,198505,19850523,1.6,P,U,Rel# listed as 28787 in JTC tables RE CWT projects 2010 Final.xls sent Apr2012,1,AD,27198,1071,,0,0,5507,33776,All Good - Edited,"STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX in EPAD (reference tables?) is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES)."
PIP,Whitehorse,Chinook,Spring,1984,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,W,H,Yukon River H,Michie Cr,CK-69,UPPER YUKON RIVER,Fed Fry,023247,1985,198505,19850523,1.6,P,U,Rel# listed as 43843 in JTC tables RE CWT projects 2010 Final.xls sent Apr2012,1,AD,42841,484,,0,0,8441,51766,All Good - Edited,"STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX in EPAD (reference tables?) is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES)."
PIP,Whitehorse,Chinook,Spring,1984,Yukon R,YUKN,CK-69,UPPER YUKON RIVER,W,H,Yukon River H,Michie Cr,CK-69,UPPER YUKON RIVER,Fed Fry,023248,1985,198505,19850523,1.6,P,U,Rel# listed as 27188 in JTC tables RE CWT projects 2010 Final.xls sent Apr2012,1,AD,26161,0,,0,0,5097,31258,All Good - Edited,"STOCK_CU_INDEX and STOCK_CU_NAME were misaligned with the STOCK_NAME of ""Yukon R"". This is presumably because linkage between the STOCK_NAME = ""Yukon R""and it's STOCK_CU_INDEX in EPAD (reference tables?) is incorrect. I changed the STOCK_CU_INDEX to CK-69 (from CK-76) and the STOCK_CU_NAME to UPPER YUKON RIVER (from NORTHERN YUKON RIVER AND TRIBUTARIES)."
